Rk,Player,Count,From,To,Ind. Seasons Link,Player-additional
1,Frank Gore,16,2005,2020,Seasons List,GoreFr00
2,Mark Ingram,12,2011,2022,Seasons List,IngrMa01
3,Adrian Peterson,12,2007,2020,Seasons List,PeteAd01
4,Thomas Jones,12,2000,2011,Seasons List,JoneTh00
5,LeSean McCoy,11,2009,2019,Seasons List,McCoLe01
6,Marshawn Lynch,11,2007,2018,Seasons List,LyncMa00
7,Steven Jackson,11,2004,2014,Seasons List,JackSt00
8,LaDainian Tomlinson,11,2001,2011,Seasons List,TomlLa00
9,Latavius Murray,10,2014,2023,Seasons List,MurrLa00
10,Matt Forte,10,2008,2017,Seasons List,FortMa00
11,DeAngelo Williams,10,2006,2016,Seasons List,WillDe02
12,Willis McGahee,10,2004,2013,Seasons List,McGaWi00
13,Ezekiel Elliott,9,2016,2024,Seasons List,ElliEz00
14,Derrick Henry,9,2016,2024,Seasons List,HenrDe00
15,Jonathan Stewart,9,2008,2017,Seasons List,StewJo00
16,Warrick Dunn,9,2000,2008,Seasons List,DunnWa00
17,Ahman Green,9,2000,2008,Seasons List,GreeAh00
18,Edgerrin James,9,2000,2008,Seasons List,JameEd00
19,Jamal Lewis,9,2000,2009,Seasons List,LewiJa00
20,Michael Pittman,9,2000,2008,Seasons List,PittMi00
21,Ricky Williams,9,2000,2011,Seasons List,WillRi00
22,Aaron Jones,8,2017,2024,Seasons List,JoneAa00
23,Alvin Kamara,8,2017,2024,Seasons List,KamaAl00
24,Joe Mixon,8,2017,2024,Seasons List,MixoJo00
25,Melvin Gordon,8,2015,2022,Seasons List,GordMe00
26,Carlos Hyde,8,2014,2021,Seasons List,HydeCa00
27,Giovani Bernard,8,2013,2020,Seasons List,BernGi00
28,LeGarrette Blount,8,2010,2018,Seasons List,BlouLe00
29,Chris Ivory,8,2010,2018,Seasons List,IvorCh00
30,Jamaal Charles,8,2008,2017,Seasons List,CharJa00
31,Chris Johnson,8,2008,2015,Seasons List,JohnCh04
32,Darren McFadden,8,2008,2015,Seasons List,McFaDa00
33,Darren Sproles,8,2008,2016,Seasons List,SproDa00
34,Fred Jackson,8,2007,2014,Seasons List,JackFr02
35,Reggie Bush,8,2006,2014,Seasons List,BushRe00
36,Maurice Jones-Drew,8,2006,2013,Seasons List,DrewMa00
37,Chester Taylor,8,2003,2010,Seasons List,TaylCh01
38,Brian Westbrook,8,2003,2010,Seasons List,WestBr00
39,Clinton Portis,8,2002,2009,Seasons List,PortCl00
40,Kevin Faulk,8,2000,2009,Seasons List,FaulKe00
41,Fred Taylor,8,2000,2008,Seasons List,TaylFr00
42,James Conner,7,2018,2024,Seasons List,ConnJa00
43,Austin Ekeler,7,2018,2024,Seasons List,EkelAu00
44,Dalvin Cook,7,2017,2023,Seasons List,CookDa01
45,Kareem Hunt,7,2017,2024,Seasons List,HuntKa00
46,Christian McCaffrey,7,2017,2023,Seasons List,McCaCh01
47,Jamaal Williams,7,2017,2023,Seasons List,WillJa06
48,Le'Veon Bell,7,2013,2020,Seasons List,BellLe00
49,Doug Martin,7,2012,2018,Seasons List,MartDo00
50,DeMarco Murray,7,2011,2017,Seasons List,MurrDe00
51,Ryan Mathews,7,2010,2016,Seasons List,MathRy00
52,Cedric Benson,7,2006,2012,Seasons List,BensCe00
53,Michael Turner,7,2006,2012,Seasons List,TurnMi00
54,Marion Barber III,7,2005,2011,Seasons List,BarbMa01
55,Maurice Morris,7,2005,2011,Seasons List,MorrMa00
56,Julius Jones,7,2004,2010,Seasons List,JoneJu01
57,Ladell Betts,7,2002,2008,Seasons List,BettLa00
58,Shaun Alexander,7,2001,2007,Seasons List,AlexSh00
59,Travis Henry,7,2001,2007,Seasons List,HenrTr00
60,Tiki Barber,7,2000,2006,Seasons List,BarbTi00
61,Corey Dillon,7,2000,2006,Seasons List,DillCo00
62,Josh Jacobs,6,2019,2024,Seasons List,JacoJo01
63,Alexander Mattison,6,2019,2024,Seasons List,MattAl01
